iter	Passed	Remaining
895	7609	883
896	7617	874
897	7624	866
898	7633	857
899	7640	848
900	7648	840
901	7657	831
902	7665	823
903	7672	814
904	7681	806
905	7689	797
906	7696	789
907	7704	780
908	7712	772
909	7720	763
910	7727	754
911	7735	746
912	7743	737
913	7750	729
914	7758	720
915	7765	712
916	7773	703
917	7780	695
918	7788	686
919	7795	677
920	7803	669
921	7811	660
922	7820	652
923	7828	643
924	7836	635
925	7844	626
926	7852	618
927	7859	609
928	7866	601
929	7874	592
930	7882	584
931	7889	575
932	7896	567
933	7904	558
934	7911	550
935	7918	541
936	7926	532
937	7934	524
938	7941	515
939	7949	507
940	7957	498
941	7965	490
942	7973	481
943	7981	473
944	7989	464
945	7996	456
946	8004	447
947	8011	439
948	8019	430
949	8026	422
950	8035	414
951	8042	405
952	8049	396
953	8056	388
954	8064	380
955	8072	371
956	8080	363
957	8087	354
958	8094	346
959	8102	337
960	8109	329
961	8117	320
962	8125	312
963	8133	303
964	8140	295
965	8148	286
966	8156	278
967	8164	269
968	8172	261
969	8179	252
970	8187	244
971	8195	236
972	8202	227
973	8210	219
974	8218	210
975	8225	202
976	8233	193
977	8240	185
978	8247	176
979	8255	168
980	8263	160
981	8271	151
982	8278	143
983	8286	134
984	8294	126
985	8303	117
986	8311	109
987	8319	101
988	8328	92
989	8335	84
990	8343	75
991	8351	67
992	8359	58
993	8366	50
994	8374	42
995	8383	33
996	8392	25
997	8400	16
998	8409	8
999	8417	0
